Word|Antonym1,Antonym2,Antonym3,Antonym4
actively|passively
activeness|inaction,inactiveness,inactivity
activity|inactivity,inaction,inactiveness
actual sin|original sin
actual|de jure,potential
acute|obtuse,chronic
acutely|chronically
acuteness|obtuseness
acyclic|cyclic
adaptability|unadaptability
adaptable|unadaptable
adaptative|maladaptive
adaptive|maladaptive
adaxial|abaxial
adaxially|abaxially
add together|subtract
add|subtract,take away
addicted|unaddicted
addictive|nonaddictive
addition|subtraction
additive|subtractive,nonlinear
addressed|unaddressed
adducent|abducent
adduct|abduct
adducting|abducent
adductive|abducent
adequacy|inadequacy,inadequacy,insufficiency
adequate|inadequate
adequately|inadequately
adequateness|inadequacy
adhesive|nonadhesive
adiabatic|diabatic
adience|abience
adient|abient
adjective|substantive
adjust|skew
adjusted|unadjusted,maladjusted
admire|look down on
admissibility|inadmissibility
admissible|inadmissible
admit|deny,reject,exclude
adnate|connate
adoptable|unadoptable
adopted|native
adoptive|native,biological
adorned|unadorned
adroit|maladroit
adroitly|maladroitly
adscript|subscript,superscript
adsorbable|absorbable
adsorbate|absorbable
adsorbent|nonadsorbent
adsorptive|nonadsorbent
adult female|man
adult male|woman
adult|juvenile
adulterant|purifying
adulterating|purifying
advance|back,fall back,recede,regress,demote
advancing|retreating
advantage|penalty,disadvantage
advantageous|disadvantageous
advantageously|badly,disadvantageously
advantageousness|unfavorableness
adventuresome|unadventurous
adventurous|unadventurous
adversary|agonist
advertently|inadvertently,unmindfully
advisability|inadvisability
advisable|inadvisable
advised|ill-advised
advisedly|accidentally,unintentionally
adynamic|dynamic
aerobic|anaerobic
aerophilic|anaerobic
aerophilous|anaerobic
aesthesia|insensibility
aesthetic|inaesthetic
aesthetical|inaesthetic
aestivate|hibernate
afebrile|febrile
affected|unaffected,unmoved
affectedness|unaffectedness
afferent|efferent
affinity|consanguinity
affirm|negate
affirmation|reversal
affirmative|negative
affirmatory|negative
affixed|unaffixed
affluent|distributary
afloat|aground,sunken
afraid|unafraid
aft|fore
against the wind|downwind
age|rejuvenate
aged|young
aggrade|degrade
aggravate|better
aggressive|unaggressive
agitate|calm
agitated|unagitated
agitation|calmness
agnostic|gnostic
agnostical|gnostic
agonist|antagonist
agree|disagree
agreeability|disagreeableness
agreeable|disagreeable
agreeableness|disagreeableness
agreeably|disagreeably,unpleasantly
agreement|disagreement
aground|afloat,sunken
ahead of time|late
ahead|back,backward
ahistorical|historical
aided|unassisted
aimlessness|purposefulness
air mail|surface mail
air|land,sea
air-to-air|air-to-surface,surface-to-air
air-to-ground|air-to-air,surface-to-air
air-to-surface|air-to-air,surface-to-air
airworthy|unairworthy
alarming|unalarming
alas|fortunately,luckily
alcoholic|nonalcoholic
alert|unalert
alfresco|indoors,inside
algorithmic|heuristic
alien|citizen
alienable|inalienable
align|skew
aligned|nonaligned
alignment|nonalignment
alike|unalike
alikeness|dissimilitude,unlikeness
aline|skew
alinement|nonalignment
aliquant part|aliquot
aliquant|aliquot
aliquot part|aliquant
aliquot|aliquant
alive|unanimated,dead
aliveness|inanimateness
alkalic|acidic,amphoteric
alkalify|acidify
alkaline|acidic,amphoteric
alkaline-loving|acid-loving
alkalinity|acidity
alkalise|acidify
alkalize|acidify
all|no,some,partly
alliance|nonalignment
allochthonous|autochthonous
allogamy|autogamy
allogeneic|xenogeneic
allopathic|homeopathic
allopathy|homeopathy
allopatric|sympatric
allopatry|sympatry
allow in|reject
allow|deny,prevent,disallow,forbid
allowable|impermissible
allowably|impermissibly
ally|foe
aloud|softly
alphabetic|analphabetic
alphabetical|analphabetic
already|not yet
also-ran|winner
alterability|unalterability
alterable|unalterable
altered|unaltered
alternate|opposite
alternating current|direct current
alternating|direct
alto relievo|low relief
alto rilievo|low relief
altogether|partly
altricial|precocial
altruism|egoism
altruistic|egoistic
always|never
amateur|professional
amateurishly|expertly
ambidextrous|left-handed,right-handed
ambiguity|unambiguity,unequivocalness
ambiguous|unambiguous,unequivocal
ambiguously|unambiguously
ambitionless|ambitious
ambitious|unambitious
ambitiously|unambitiously
ambiversion|extraversion,introversion
ambiversive|extroversive,introversive
ameliorate|worsen
amend|worsen
amended|unamended
amenity|disagreeableness
ametabolic|metabolic
ametabolous|metabolic
ametropic|emmetropic
amiability|ill humor
amicable|hostile
amiss|perfectly
amoral|immoral,moral
amorally|morally
amphibious|aquatic,terrestrial
amphiprotic|acidic,alkaline
amphitropous|anatropous
amphoteric|acidic,alkaline
ample|meager
amplify|understate
amply|meagerly
amyotonia|tonicity
anabatic|katabatic
anabolic|catabolic
anabolism|catabolism
anaclinal|cataclinal
anadromous|catadromous,diadromous
anaerobic|aerobic
anaerobiotic|aerobic
anaesthetise|bring to
anaesthetize|bring to
anal retentive|oral
anal|oral
analog|digital
analogous|heterologous,homologous
analogue|digital
analogy|apophatism,cataphatism
analphabetic|alphabetic
analphabetism|literacy
analyse|synthesize
analysis|synthesis
analytic thinking|synthesis
analytic|synthetic
analytical|synthetic
analyze|synthesize
analyzed|unanalyzed
anamorphism|katamorphism
anaphrodisia|aphrodisia
anaphrodisiac|aphrodisiac
anapsid reptile|diapsid
anapsid|diapsid
anastalsis|peristalsis
anastigmatic|astigmatic
anathemise|bless
anathemize|bless
anatropous|amphitropous
ancestor|descendant
androgynous|female,male
anemophilous|entomophilous
anesthetise|bring to
anesthetize|bring to
anestrous|estrous
anestrum|estrus
anestrus|estrus
anglican|Nonconformist
anglophilia|Anglophobia
anglophobia|Anglophilia
angry|unangry
angular|rounded
angularity|roundness
angulate|rounded
anhydrous|hydrous
animal|mineral,vegetable
animate|inanimate,insentient,deaden
animated|unanimated
animateness|inanimateness
anionic|cationic
anisotropic|isotropic
anisotropy|isotropy
annual|biennial,perennial
annul|validate
anodal|cathodic
anode|cathode
anodic|cathodic
anoestrum|estrus
anoestrus|estrus
anon.|onymous
anonymous|onymous
anorthic|monoclinic
anovulation|ovulation
answer|question
antagonist|agonist,synergist
antagonistic|conciliatory,synergistic
antapex|apex
ante up|default
antecede|postdate
antecedence|posteriority
antecedency|posteriority
antecedent|subsequent,descendant
antedate|postdate
antemeridian|postmeridian
antemortem|postmortem
antenatal|perinatal,postnatal
antenuptial|postnuptial
antepartum|perinatal,postnatal
anterior|posterior
anteriority|posteriority
anterograde|retrograde
anti|pro
anti-american|pro-American
anticatalyst|catalyst
anticholinergic|cholinergic
anticlimactic|climactic
anticlinal|synclinal
anticlockwise|clockwise
anticyclone|cyclone
antimagnetic|magnetic
antinode|node
antipyretic|pyretic
antiseptic|septic
antitype|type
antonym|antonym,synonym
antonymous|antonymous,synonymous
antonymy|antonymy
antrorse|retrorse
apace|slowly
aperiodic|periodic
apetalous|petalous
apex of the sun's way|antapex
apex|antapex
aphelion|perihelion
aphrodisia|anaphrodisia
aphrodisiac|anaphrodisiac
aphrodisiacal|anaphrodisiac
aplacental|placental
apoapsis|periapsis,point of periapsis
apocarpous|syncarpous
apocrine|eccrine
apogee|perigee
apojove|perijove
apologetic|unapologetic
apolune|perilune,periselene
apophatism|cataphatism,doctrine of analogy
aposelene|perilune,periselene
apparel|undress
appeal|repel
appealable|unappealable
appealing|unappealing,unsympathetic
appealingly|unappealingly
appear|disappear,disappear
appearance|disappearance
appendaged|unappendaged
appetising|unappetizing
appetisingness|unappetizingness
appetizing|unappetizing
appetizingness|unappetizingness
applaud|boo
applicability|inapplicability
applied|theoretical
apply|exempt,defy
appointed|elective
appointive|elective
apposable|unopposable
appositeness|inappositeness,inaptness
appreciate|depreciate
appreciation|depreciation
appreciatively|unappreciatively,ungratefully
apprise|depreciate
apprize|depreciate
approachability|unapproachability
approachable|unapproachable
approbate|reprobate
approbation|disapprobation
appropriate|inappropriate
appropriately|inappropriately,unsuitably
appropriateness|inappropriateness
approval|disapproval
approve|disapprove
approved|disapproved
approving|disapproval
approvingly|disapprovingly
apropos|malapropos
apteral|peripteral
aptitude|inaptitude
aptly|incompetently
aptness|inappositeness,inaptness
aquatic|amphibious,terrestrial
aqueous|igneous
arabic numeral|Roman numeral
arbitrable|nonarbitrable
arbitrary|nonarbitrary
arboreal|nonarboreal
arboreous|nonarboreal
arenaceous|argillaceous
argillaceous|arenaceous
argumentative|unargumentative
arianism|Athanasianism
aridity|fruitfulness
aright|incorrectly,wrongly
arise|go to bed,turn in,lie down,sit down,fall
arm|disarm
armament|disarmament,disarming
armed|armless,unarmed
arming|disarmament,disarming
armless|armed
armored|unarmored
armoured|unarmored
arouse|cause to sleep,de-energise,de-energize,sedate,fall asleep
arrange|disarrange
arranged|disarranged
arrive|leave
arrogate|forfeit
artefact|natural object
artesian|subartesian
artful|artless,ingenuous
artfulness|artlessness
articulate|unarticulated,inarticulate
articulated|unarticulated
articulately|inarticulately,ineloquently,inarticulately
artifact|natural object
artificial language|natural language
artificial|natural
artificially|naturally
artiodactyl mammal|odd-toed ungulate
artiodactyl|odd-toed ungulate
artless|artful,disingenuous
artlessness|artfulness
as luck would have it|unfortunately,unluckily
ascend|descend,set
ascendant|descendant
ascendent|descendant
ascending node|descending node
ascending|descending
ascension|fall
ascent|descent,fall
asexual|sexual
ashamed|unashamed
ashamedly|unashamedly
ask|obviate
asking|declarative,declaratory
asleep|awake
asperity|dullness
assail|defend
assemblage|disassembly
assemble|disassemble
assembly|disassembly
assent|dissent
asserting|interrogative,interrogatory
assertive|unassertive
assertively|unassertively
asset|liability
assigned|unassigned
assimilate|dissimilate,dissimilate
assisted|unassisted
associate|dissociate
association|disassociation
associative|nonassociative
associatory|nonassociative
assoil|convict
assortative mating|disassortative mating
assure|worry
astern|fore
astigmatic|anastigmatic
astigmatism|stigmatism
astigmia|stigmatism
astomatous|stomatous
astringent|nonastringent
asymmetric|symmetrical
asymmetrical|symmetrical
asymmetrically|symmetrically
asymmetry|symmetry
asynchronism|synchronism,synchronization,synchronizing
asynchronous operation|synchronous operation
asynchronous|synchronous
asynchrony|synchronism,synchronization,synchronizing
asyndetic|syndetic
at a lower place|above
at best|at worst
at least|at most,at the most
at most|at least,at the least
at that place|here
at the best|at worst
at the least|at most,at the most
at the most|at least,at the least
at the worst|at best
at worst|at best
athanasianism|Arianism
atheism|theism
atomic theory|holism
atomic|conventional
atomism|holism
atomist theory|holism
atomistic theory|holism
atomistic|holistic
atomistical|holistic
atonal|tonal
atonalism|tonality
atonality|tonality
atonia|tonicity
atonic|tonic
atonicity|tonicity
atony|tonicity
atoxic|toxic
atrophied|hypertrophied
attach|detach
attachable|detachable
attached|unattached,detached,vagile
attack|defend
attaint|honor
attend to|neglect
attend|miss
attendance|nonattendance
attended|unaccompanied
attending|nonattendance,inattention
attention|inattention
attentive|inattentive,heedless
attentiveness|inattentiveness
attire|dress down
attract|repel
attraction|repulsion
attractive force|repulsion
attractive|unattractive,repulsive
attractively|unattractively
attractiveness|unattractiveness
attributable|unattributable
attributive|predicative
atypical|typical
atypicality|typicality
atypically|typically
audibility|inaudibility
audible|inaudible
audibleness|inaudibility
audibly|inaudibly
augmentation|diminution
aunt|uncle
auntie|uncle
aunty|uncle
aurora|sunset
auspicious|inauspicious
auspiciously|inauspiciously,unpropitiously
auspiciousness|inauspiciousness,unpropitiousness
authorised|unauthorized
authorized|unauthorized
autochthonous|allochthonous
autoecious|heteroecious
autogamic|endogamous,exogamous
autogamous|endogamous,exogamous
autogamy|allogamy
autogenic|heterogenous
autogenous|heterogenous
autologous|heterologous,homologous
automatic|manual
autophytic|heterotrophic
autotrophic|heterotrophic
autumnal equinox|vernal equinox
autumnal|summery,vernal,wintry
availability|inaccessibility,unavailability
available|unavailable
availableness|inaccessibility,unavailability
avascular|vascular
avenged|unavenged
avertable|inevitable
avertible|inevitable
avirulent|virulent
avoid|confront,validate
avoidable|inevitable
avoirdupois|leanness
avouch|disavow
avow|disavow
awake|asleep,fall asleep
awaken|cause to sleep,fall asleep
awakened|unawakened
aware|unaware,unmindful,unwitting
awareness|incognizance
away game|home game
away|home
awed|unawed
awestricken|unawed
awestruck|unawed
awful|nice
awkward|graceful
awkwardness|gracefulness
awned|awnless
awnless|awned
awny|awnless
azonal|zonal
babble out|keep quiet
babble|keep quiet
back burner|front burner
back end|front
back up|unclog
back|front,advance,veer,forward,ahead,forward
backed|backless
background|foreground,play up
backhand|forehand
backhanded|forehand
backless|backed
backside|front
backward|forward,ahead,forward
backwards|forward
bad condition|fitness
bad egg|good egg
bad guy|good guy
bad luck|good fortune,good luck
bad person|good person
bad weather|good weather
bad|good,good,goodness,unregretful
badly|advantageously,well,well
badness|good,goodness
balance|asymmetry,unbalance,imbalance
balanced|unbalanced
balconied|unbalconied
balefulness|beneficence
banded|unbanded
bank|withdraw,distrust,mistrust
baptised|unbaptized
baptized|unbaptized
bar|unbar
bare|sheathed,covered
barefacedly|ashamedly
barf|keep down
barreled|unbarreled
barrelled|unbarreled
barrenness|fruitfulness
bas relief|high relief
basal|cauline
baseball diamond|outfield
basic|incidental
basify|acidify
basipetal|acropetal
basiscopic|acroscopic
basso relievo|high relief
basso rilievo|high relief
be active|rest
be born|die
be full|starve
be quiet|open up
be sick|keep down
be well|suffer
be|differ
beachlike|cliffy
beachy|cliffy
beaked|beakless
beakless|beaked
bear away|bring
bear in mind|forget
bear off|bring
bear on|discontinue
bear|bull
bearing|nonbearing
beat back|attract
beautiful|ugly
beautifully|unattractively
beautify|uglify
beauty|ugliness
becomingness|unbecomingness
bed|get up,turn out
bedamn|bless
bedded|bedless,unstratified
bedless|bedded
beef up|weaken
befittingly|inappropriately,unsuitably
begetter|female parent,mother
begin|end
beginning|end,middle,ending,finish
begrime|clean
begrudge|wish
behave|misbehave
being|nonbeing,nonexistence
beingness|nonbeing,nonexistence
belatedly|early
belief|unbelief
believability|incredibility
believable|incredible
believably|incredibly,unbelievably
believe|disbelieve
believingly|incredulously,unbelievingly
belittle|flatter
bellied|bellyless
bellyless|bellied
below the belt|fairly
below|above,above,upstairs
belt along|linger
belt up|open up
belt|unbelt
belted|unbelted
beltless|belted
bemire|clean
bend|unbend,straighten
beneath|above
beneficed|unbeneficed
beneficence|maleficence
beneficent|maleficent
benevolence|malevolence
benevolently|malevolently
benign|malign,malignant
benignancy|malignancy,malignity
benignant|malign
benignity|malignancy,malignity
bequeath|disinherit
beseeching|imperative
beshrew|bless
best|worst
bestride|hop out
betray|undeceive
better|worse,worsen
bettering|worsening
beyond control|in hand
biaural|monaural
bibbed|bibless
bibless|bibbed
bicameral|unicameral
bidirectional|unidirectional
biennial|annual,perennial
big|small,little,small
bigness|littleness,smallness
bilaterally symmetrical|actinomorphic
bilaterally|unilaterally
bimodal|unimodal
binaural|monaural
binaurally|monaurally
bind|untie,unbind
binuclear|mononuclear,trinucleate
binucleate|mononuclear,trinucleate
binucleated|mononuclear,trinucleate
biodegradable pollution|nonbiodegradable pollution
biological|adoptive
biovular|identical
biped|quadruped,quadrupedal
bipedal|quadruped,quadrupedal
bipolar|unipolar
birth|death
bisexual|heterosexual,homosexual
bivalent|multivalent,univalent
bivalve|univalve
bivalved|univalve
blab out|keep quiet
blab|keep quiet
black and white|color
black|white,whiten
black-and-white|color
blacken|whiten
blackness|white
blame|absolve
blandish|disparage
blank out|remember
blear|focus
blemished|unblemished
blended|unblended
bless|desecrate,curse
blessed|cursed
blessing|disapproval
blest|cursed
blind|sighted
blithely|unhappily
blitheness|cheerlessness
block|remember,unblock,unfreeze,free,unstuff
blond|brunet
blonde|brunet
blood brother|sister
blood kinship|affinity
bloodily|bloodlessly
bloodless|bloody
bloodlessly|bloodily
bloody|bloodless
blow out|ignite
blow up|reduce,deflate
blow|conserve
blubber|leanness
blue-collar|white-collar
blunt file|taper file
blunt|enliven,sharpen
bluntness|sharpness
blur|focus
blurriness|distinctness,sharpness
board|get off
boarding school|day school
boarding|disembarkation
bodied|unbodied
bodoni font|old style
bodoni|old style
boil|freeze
bold|timid
boldness|timidity
bolt|unbolt
bomb|pass
boneless|bony
boney|boneless
bony|boneless
boo|applaud
bordered|unbordered
bore|interest
born|unborn
borrow|lend
borrower|lender
botany|fauna
bottle-fed|breast-fed
bottlefeed|breastfeed
bottle-feed|bottlefeed
bottom of the inning|top
bottom out|top out
bottom|side,top,top
bottomed|bottomless
bottomless|bottomed
bottom-up|top-down
bounce back|get worse
bounce|clear
bound|unbound,free
bounded interval|open interval
boundedness|infiniteness
boundlessness|finiteness
bowed|plucked
box|unbox
boy|female child,girl,daughter
boycott|patronise,patronize
brace|de-energise,de-energize,sedate
brachycephalic|dolichocephalic
brachycranial|dolichocephalic
brachycranic|dolichocephalic
bracteate|ebracteate
bracted|ebracteate
braid|unbraid
brainwashed|unbrainwashed
branch out|specialise,specialize
branchiate|abranchiate
branchless|branchy
branchy|branchless
branded|unbranded
brand-name drug|generic drug
brave|cowardly,timid
braveness|cowardice
bravery|cowardice,fear
breach|keep
break apart|assemble,unify
break down|synthesize
break even|lose,profit
break of day|sunset
break of the day|sunset
break up|assemble
break|repair,promote,make,keep,conform to
breakable|unbreakable
breakableness|unbreakableness
breasted|breastless
breast-fed|bottle-fed
breastfeed|bottlefeed
breastless|breasted
breathe in|exhale
breathe out|inhale
breathing|breathless
breathless|breathing
bridgeable|unbridgeable
bridle|unbridle
bright|dull,dimmed
brighten|darken,overcast
brightness|dullness
brine|fresh water
bring around|anesthetize
bring back|anesthetize
bring down|raise
bring forward|back
bring home the bacon|fail
bring off|fail
bring round|anesthetize
bring to|anesthetize
bring together|disjoin
bring up|lower
bring|take away
broad|narrow
broaden|specialise,specialize
broadening|narrowing
broadly speaking|narrowly
broadly|narrowly
broad-minded|narrow-minded,shockable
broad-mindedly|narrow-mindedly
broad-mindedness|narrow-mindedness
broadness|narrowness
broadnosed|catarrhine,leptorrhine
broken|unbroken
brother|sister
brotherlike|sisterly
brotherly|sisterly
brunet|blond
brunette|blond
bucket along|linger
buckle|unbuckle
build up|disarm
bulging|concave
bulk|minority
bull|bear
bump|promote
bumpy|smooth
buoy up|weigh down
burden|unburden
burdened|unburdened
buried|unburied
burned|unburned
burnt|unburned
burst|implode
burthen|unburden
bury|remember
bushel|break
bust|repair
busy|idle
but then|on the one hand
butterball|thin person
button up|open up
button|unbutton
buttoned|unbuttoned
buy at|boycott
buy the farm|be born
buy|sell
by all means|by no means
by artificial means|naturally
by chance|deliberately
by choice|accidentally,unintentionally
by design|accidentally,unintentionally
by hand|by machine
by machine|by hand
by no means|by all means
by trial and error|theoretically
cacodaemon|eudemon
cacodemon|eudemon
cacogenic|eugenic
cacogenics|eugenics
cacophonic|euphonious
cacophonous|euphonious
caducous|persistent
caenogenesis|palingenesis
cainogenesis|palingenesis
calced|discalced
calcicolous|calcifugous
calcifugous|calcicolous
calcify|decalcify
calculable|incalculable
call back|forget
call for|obviate
call option|put option
call up|demobilize,forget
call|put option
calm down|agitate
calm|stormy,discomposure,agitate,stimulate
calmness|discomposure,agitation
caloric|nonthermal
camphorated|uncamphorated
campylotropous|orthotropous
can|hire
cancelled|on
candor|unfairness
candour|unfairness
cannonball along|linger
capability|incapableness,incapability,incapability
capable|incapable
capableness|incapability,incapableness,incapability
capably|incompetently
capacity|incapacity
capital letter|lowercase
capital|lowercase
capitalism|socialism
capitalist economy|socialism
capitalist|socialistic
capitalistic|socialistic
captor|liberator
capturer|liberator
cared-for|uncared-for
careful|careless
carefully|carelessly,incautiously
carefulness|carelessness,incaution
careless|careful
carelessly|carefully,cautiously
carelessness|carefulness
carinate bird|ratite
carinate|ratite
carnivorous|herbivorous,omnivorous,insectivorous
carpellate|acarpelous
carpeted|uncarpeted
carry away|bring
carry off|fail,bring
carry on|discontinue
carry to term|miscarry
carve up|unite
carved|uncarved
carvel-built|clinker-built
carven|uncarved
cash account|margin account
cash basis|accrual basis
cash in one's chips|be born
cash|credit
cast down|elate
cast off|cast on
cast on|cast off
cast|keep down
castrated|uncastrated
cat|keep down
catabatic|anabatic
catabolic|anabolic
catabolism|anabolism
cataclinal|anaclinal
catadromous|diadromous,anadromous
catalectic|hypercatalectic,acatalectic
catalyst|anticatalyst
cataphatism|apophatism,doctrine of analogy
catarrhine|leptorrhine,platyrrhine
catarrhinian|leptorrhine,platyrrhine
catch some z's|wake
catch|unhitch
categorem|syncategoreme,syncategorem
categorematic|syncategorematic
categoreme|syncategoreme,syncategorem
cathode|anode
cathodic|anodic
cationic|anionic
caudal|cephalic
caudate|acaudate
caudated|acaudate
caulescent|acaulescent
cauline|acaulescent,radical
caulked|uncaulked
causative|noncausative
cause to sleep|awaken
caution|incaution
cautious|incautious,brave
cautiously|carelessly,incautiously
cautiousness|incaution
cease|continue,begin
ceilinged|floored
celebrity|infamy
cellular|noncellular
cenobite|eremite
cenobitic|eremitic
cenobitical|eremitic
cenogenesis|palingenesis
cenogenetic|palingenetic
censored|uncensored
center|right,left
central|peripheral
centralisation|decentralization
centralise|deconcentrate,decentralise,decentralize
centralised|decentralized
centralising|decentralizing
centrality|marginality
centralization|decentralization
centralize|deconcentrate,decentralise,decentralize
centralized|decentralized
centralizing|decentralizing
centrally|peripherally
centrifugal force|centripetal force
centrifugal|centripetal
centripetal force|centrifugal force
centripetal|centrifugal
cephalic|caudal
cerebral|emotional
ceremonially|unceremoniously
ceremoniously|unceremoniously
ceremoniousness|unceremoniousness
certain|uncertain,unsealed,unsure,uncertain
certainty|uncertainty
certification|disenfranchisement
certified|uncertified
certify|decertify
chain|unchain
change|stay
changeability|changelessness
changeable|unchangeable,immutable
changeableness|changelessness
changed|unchanged
changeful|unchangeable
changefulness|constancy
changeless|mutable
changelessness|changeableness
chapelgoer|Anglican
characteristic|uncharacteristic
characteristically|uncharacteristically
charge up|calm
charge|calm,discharge,pay cash
charged|uncharged
chariness|unwariness
charitable|uncharitable
chartered|unchartered
chaste|unchaste
cheap|expensive
cheaply|expensively
check in|check out
check out|check in
check|disagree
cheer up|complain
cheer|uncheerfulness,complain,dishearten
cheerful|cheerless
cheerfully|cheerlessly
cheerfulness|cheerlessness,uncheerfulness
cheerless|cheerful
cheerlessly|cheerfully
cheerlessness|cheerfulness
child|parent
chill|heat
chirk up|complain
chivalrously|unchivalrously
chlamydeous|achlamydeous
choke off|unclog
choke up|unstuff
choke|unclog,be born
cholinergic|anticholinergic
chondritic|achondritic
chop-chop|slowly
christian|unchristian
chromatic color|achromatic color
chromatic colour|achromatic color
chromatic|diatonic
chromatinic|achromatinic
chronic|acute
chronically|acutely
chuck up the sponge|enter
chuck|keep down
cipher|decode
circular|square
circumstantial evidence|direct evidence
circumstantially|deliberately
cisc|RISC,reduced instruction set computer,reduced instruction set computing
cismontane|tramontane
citizen|noncitizen
civil law|international law
civil|uncivil,sidereal
civilian|military,serviceman
civilised|noncivilized
civility|incivility
civilized|noncivilized
civilly|uncivilly
clabber|homogenise,homogenize,homogenise
clad|unclothed
claim|disclaim,forfeit
clam up|open up
clap|boo
clarify|obfuscate
clarity|opacity,unclearness,obscurity
clasp|unbuckle,unclasp
classical|nonclassical
classicalism|Romanticism
classicism|Romanticism
classicist|romanticist
classification|declassification
classified|unclassified
classify|declassify
clayey|arenaceous
clean|dirty,unfairly,unclean
clean-handed|guilty
cleanliness|uncleanliness
cleanness|dirtiness
clear up|obfuscate,overcast
clear|ill-defined,cloudy,convict,bounce,overcast,unclear,clutter,opaque
cleared|uncleared
clearheaded|confused
clearly|unintelligibly
clearness|unclearness,obscurity,opacity
clear-thinking|confused
clement|inclement
clergy|laity
clergyman|layman
clifflike|beachy
cliffy|beachy
climactic|anticlimactic
climb on|hop out
climb|descent,wane
clincher-built|carvel-built
clinker-built|carvel-built
clip|unclip
clock in|punch out,clock out
clock off|punch in,clock in
clock on|punch out,clock out
clock out|punch in,clock in
clockwise rotation|levorotation
clockwise|counterclockwise
clog up|unclog
clog|unclog
close down|open
close up|open up,open,free
close|distant,open,open,distant,far
closed chain|open chain
closed circuit|open circuit
closed interval|open interval
closed|open
closeness|farness,openness
closing|opening,opening
clot|homogenise,homogenize,homogenise
clothe|undress
clothed|unclothed
cloud|clear up
cloudy|clear
clumsiness|gracefulness
clutter up|unclutter
clutter|unclutter
coalition|nonalignment
coarse|fine
coarsely|finely
coastal|inland
coated|uncoated
cockcrow|sunset
code|decode
coding dna|intron
coenobite|eremite
coenobitic|eremitic
coenobitical|eremitic
cognation|affinity
cognisable|unknowable
cognisance|incognizance
cognisant|unaware
cognise|ignore
cognizable|unknowable
cognizance|incognizance
cognizant|unaware
cognize|ignore
cognoscible|unknowable
coherence|incoherence
coherency|incoherence
coherent|incoherent
coherently|incoherently
cohesion|incoherence
cohesiveness|incoherence
coil|uncoil
coiled|uncoiled
cold war|hot war
cold|hot,hotness
cold-blooded|warm-blooded
coldhearted|warmhearted
coldness|hotness
collapsable|noncollapsible
collapsible|noncollapsible
collateral|lineal
collect|spread
collected|ungathered,uncollected
collective|distributive
collide with|miss
colligate|dissociate
colly|clean
colonise|decolonise,decolonize
colonize|decolonise,decolonize
color in|discolor
color|black-and-white,discolor,colorlessness
colored|uncolored
colorful|uncolored,colorless,colourless,colorless
